filename,width,height,channels,file_size_mb
Oil (384).jpg,1920,1080,3,0.8221988677978516
Oil (386).jpg,1920,1080,3,0.7915372848510742
Oil (387).jpg,1920,1080,3,0.7782821655273438
Oil (388).jpg,1920,1080,3,0.774266242980957
Oil (391).jpg,1920,1080,3,0.7060909271240234
Oil (393).jpg,1920,1080,3,0.6681423187255859
Oil (394).jpg,1920,1080,3,0.6598882675170898
Oil (396).jpg,1920,1080,3,0.633967399597168
Oil (398).jpg,1920,1080,3,0.6014919281005859
Oil (399).jpg,1920,1080,3,0.5765380859375
Oil (40).jpg,1920,1080,3,0.9274606704711914
Oil (400).jpg,1920,1080,3,0.5832071304321289
Oil (401).jpg,1920,1080,3,0.5759067535400391
Oil (402).jpg,1920,1080,3,0.5561647415161133
Oil (405).jpg,1920,1080,3,0.5130805969238281
Oil (407).jpg,1920,1080,3,0.4673652648925781
Oil (408).jpg,1920,1080,3,0.4763479232788086
Oil (409).jpg,1920,1080,3,0.5075178146362305
Oil (41).jpg,1920,1080,3,0.9178800582885742
Oil (410).jpg,1920,1080,3,0.36870765686035156
Oil (412).jpg,1920,1080,3,0.581416130065918
Oil (413).jpg,1920,1080,3,0.5277080535888672
Oil (414).jpg,1920,1080,3,0.5789384841918945
Oil (416).jpg,1920,1080,3,0.5858745574951172
Oil (417).jpg,1920,1080,3,0.580317497253418
Oil (419).jpg,1920,1080,3,0.5810213088989258
Oil (421).jpg,1920,1080,3,0.5784225463867188
Oil (424).jpg,1920,1080,3,0.6030473709106445
Oil (428).jpg,1920,1080,3,0.5778007507324219
Oil (43).jpg,1920,1080,3,0.9126520156860352
Oil (431).jpg,1920,1080,3,0.5757017135620117
Oil (432).jpg,1920,1080,3,0.5642461776733398
Oil (433).jpg,1920,1080,3,0.5616531372070312
Oil (434).jpg,1920,1080,3,0.5631303787231445
Oil (436).jpg,1920,1080,3,0.547642707824707
Oil (437).jpg,1920,1080,3,0.5484781265258789
Oil (439).jpg,1920,1080,3,0.526005744934082
Oil (440).jpg,1920,1080,3,0.526641845703125
Oil (441).jpg,1920,1080,3,0.5297746658325195
Oil (442).jpg,1920,1080,3,0.5277938842773438
Oil (443).jpg,1920,1080,3,0.5188369750976562
